x,y,z
0.6521905,0.3458780,0.6362098
0.5634816,0.5329997,0.5668492
0.6401469,0.6577303,0.6083227
0.4531872,0.4986831,0.5561061
0.4024065,0.5185939,0.4619537
0.4301314,0.5978692,0.4211341
0.5426670,0.3331305,0.6086559
0.5171540,0.4812385,0.4693289
0.5380821,0.5346181,0.6895762
0.6247595,0.5202695,0.4438619
0.5994358,0.4472798,0.4572158
0.6273128,0.4021228,0.3137526
0.5677997,0.5578387,0.4877353
0.5252906,0.4208006,0.5611905
0.5136530,0.5119949,0.5130261
0.3823755,0.3934489,0.8786302
0.4986575,0.7219554,0.5572538
0.6813928,0.4622317,0.4806036
0.5067576,0.6041771,0.3421154
0.6914811,0.5709185,0.4779528
0.5608215,0.4946501,0.4546417
0.5527819,0.6112838,0.5054802
0.3277538,0.5544602,0.4965354
0.5056904,0.4993069,0.3749173
0.4495825,0.6301057,0.4502732
0.4191831,0.4907028,0.5276468
0.4328677,0.5455024,0.4692569
0.5286325,0.4940597,0.4381875
0.5176031,0.5500188,0.5851076
0.5471704,0.4619051,0.2904810
0.5084539,0.3238646,0.5867900
0.3650219,0.6702248,0.5161296
0.4470632,0.5659267,0.5321392
0.5500109,0.5316267,0.5529418
0.4174284,0.4196340,0.3454396
0.3122635,0.5222964,0.6946390
0.4182125,0.5570697,0.4650019
0.4443124,0.4404332,0.5731256
0.5023129,0.4109328,0.5673851